student_id,student_name,Department,level
24001001,Ama Mensah,Computer Science,100
24001002,Kojo Asare,Computer Science,200
24001003,Efua Owusu,Computer Science,300
24001004,Kwame Boateng,Computer Science,400
24001005,Abena Osei,Information Technology,100
24001006,Yaw Addo,Information Technology,200
24001007,Akosua Frimpong,Information Technology,300
24001008,Kofi Adjei,Information Technology,400
24001009,Adwoa Darko,Computer Science,100
24001010,Fiifi Quaye,Computer Science,200
24001011,Afia Nkrumah,Computer Science,300
24001012,Samuel Owusu,Computer Science,400
24001013,Naana Arthur,Information Technology,100
24001014,Emmanuel Ofori,Information Technology,200
24001015,Akua Amponsah,Information Technology,300
24001016,Daniel Asare,Information Technology,400
24001017,Maame Yaa Kusi,Computer Science,100
24001018,Richmond Boateng,Computer Science,200
24001019,Esi Mensima,Computer Science,300
24001020,Prince Agyemang,Computer Science,400
24001021,Adjoa Sarpong,Information Technology,100
24001022,Michael Tetteh,Information Technology,200
24001023,Abigail Osei,Information Technology,300
24001024,Joseph Addai,Information Technology,400
24001025,Patience Amoah,Computer Science,100
24001026,Isaac Mensah,Computer Science,200
24001027,Elizabeth Armah,Computer Science,300
24001028,Desmond Quaye,Computer Science,400
24001029,Joana Asiedu,Information Technology,100
24001030,Martin Koomson,Information Technology,200
24001031,Grace Owusu,Information Technology,300
24001032,Stephen Antwi,Information Technology,400
24001033,Akosua Ofori,Computer Science,100
24001034,George Mensah,Computer Science,200
24001035,Mavis Danso,Computer Science,300
24001036,Franklin Asante,Computer Science,400
24001037,Victoria Nyarko,Information Technology,100
24001038,Benjamin Osei,Information Technology,200
24001039,Clara Badu,Information Technology,300
24001040,Peter Aidoo,Information Technology,400
24001041,Jennifer Addo,Computer Science,100
24001042,Robert Kusi,Computer Science,200
24001043,Esther Amoah,Computer Science,300
24001044,Andrew Opoku,Computer Science,400
24001045,Matilda Osei,Information Technology,100
24001046,Charles Asamoah,Information Technology,200
24001047,Janet Agyapong,Information Technology,300
24001048,Eric Tetteh,Information Technology,400
24001049,Bridget Arthur,Computer Science,100
24001050,Lawrence Kwarteng,Computer Science,200
24001051,Monica Adjei,Computer Science,300
24001052,Francis Amoako,Computer Science,400
24001053,Florence Yeboah,Information Technology,100
24001054,Godwin Frimpong,Information Technology,200
24001055,Lucy Asare,Information Technology,300
24001056,Patrick Osei,Information Technology,400
24001057,Rita Mensah,Computer Science,100
24001058,Martin Agyapong,Computer Science,200
24001059,Sandra Owusu,Computer Science,300
24001060,Thomas Boateng,Computer Science,400
24001061,Beatrice Kusi,Information Technology,100
24001062,Jonathan Asante,Information Technology,200
24001063,Priscilla Ofori,Information Technology,300
24001064,Edward Mensah,Information Technology,400
24001065,Comfort Addo,Computer Science,100
24001066,Richard Armah,Computer Science,200
24001067,Veronica Osei,Computer Science,300
24001068,Anthony Badu,Computer Science,400
24001069,Caroline Asiedu,Information Technology,100
24001070,William Koomson,Information Technology,200
24001071,Gloria Antwi,Information Technology,300
24001072,Christopher Quaye,Information Technology,400
24001073,Juliana Nyarko,Computer Science,100
24001074,Mathew Ofori,Computer Science,200
24001075,Paulina Danso,Computer Science,300
24001076,Simon Asare,Computer Science,400
24001077,Theodora Amoah,Information Technology,100
24001078,Emmanuel Boadu,Information Technology,200
24001079,Selina Arthur,Information Technology,300
24001080,Daniel Kusi,Information Technology,400
24001081,Rebecca Mensah,Computer Science,100
24001082,Stephen Osei,Computer Science,200
24001083,Angela Owusu,Computer Science,300
24001084,Michael Addo,Computer Science,400
24001085,Adelaide Frimpong,Information Technology,100
24001086,David Asante,Information Technology,200
24001087,Beatrice Ofori,Information Technology,300
24001088,Emmanuel Darko,Information Technology,400
24001089,Selina Mensah,Computer Science,100
24001090,John Kwarteng,Computer Science,200
24001091,Naomi Osei,Computer Science,300
24001092,Frank Owusu,Computer Science,400
24001093,Gladys Asare,Information Technology,100
24001094,Emmanuel Tetteh,Information Technology,200
24001095,Sheila Boateng,Information Technology,300
24001096,Albert Osei,Information Technology,400
24001097,Maureen Kusi,Computer Science,100
24001098,Charles Mensah,Computer Science,200
24001099,Victoria Owusu,Computer Science,300
24001100,Samuel Addo,Computer Science,400
